date,title,description,coding,second coding
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","While sales of electric vehicles surge in China, adoption of more environmentally friendly vehicles is stumbling in the United States and Europe as carmakers and governments struggle to meet years-old promises about affordability and charging stations.",Electric Vehicles,neutral
2024-11-27,Australia nears social media ban for children under 16 after heated debate,Australia moved closer on Wednesday to banning social media for children under 16 after the lower house of Parliament passed a bill.,Politics,neutral
2024-11-27,Türkiye leads global drone market with 70 percent share: Minister,"Türkiye is emerging as a dominant force in the global drone market, holding an impressive 70 percent share, according to Industry and Technology Minister Mehmet Fatih Kacır.",Politics,neutral
2024-11-27,"Samaana calls Mahayuti victory 'lucky draw', says 'EVM hai toh mumkin hai'","Shiv Sena (UBT) questions the Maharashtra election results, citing suspicions surrounding EVMs. The party's mouthpiece, 'Saamana', highlights the speed of vote counting, referencing Elon Musk's past comments on EVM hackability. They point to alleged discrepan…",Politics,neutral
2024-11-27,Wall Street Is Divided On Whether DOGE Will Succeed,"The Department of Government Efficiency (DOGE) — set to be led by Elon Musk and Vivek Ramaswamy — is the talk of the town, but Wall Street is split on President-elect Donald Trump’s plan to drastically curb government spending.“A lot of bankers, they’re like…",Side Ventures,neutral
2024-11-27,"In an F-35 funding fight, Musk will need to win over a skeptical Congress and Trump","A US F-35 in flight.US Air Force photo by Senior Airman Jack RodgersElon Musk sharply criticized the F-35 stealth jet and its builder, Lockheed Martin.Musk could target the expensive program as part of his efforts to cut federal spending under Trump.Congr…",Association with Trump,neutral
2024-11-27,Biden seeks extra $24bn for Kiev – Politico,"The administration of US President Joe Biden is requesting an additional $24 billion in aid for Ukraine, Politico has reported Read Full Article at RT.com",Politics,neutral
2024-11-27,Government workers on the prospect of DOGE-fueled layoffs: 'It kind of feels like we're being villainized',"Some federal workers are worried, some are optimistic, and most are considering their other career options, said 10 who spoke with BI.",Association with Trump,neutral
2024-11-27,Donald Trump and Elon Musk Could Radically Reshape NASA. Here's How,"Musk's involvement in space policy raises potential conflicts of interest, and that's not the only change on the horizon.",Association with Trump,neutral
2024-11-27,"In an F-35 funding fight, Musk will need to win over a skeptical Congress and Trump","As Musk takes up the DOGE initiative, the billionaire is taking aim at the F-35, but any effort to cut the program will run headlong into Congress.",Association with Trump,neutral
2024-11-27,Donald Trump and Elon Musk Could Radically Reshape NASA. Here's How,"Musk's involvement in space policy raises potential conflicts of interest, and that's not the only change on the horizon.",Association with Trump,neutral
2024-11-27,"Google, Meta Urge Australia to Delay Bill on Social Media Ban for Children","Prime Minister Anthony Albanese's centre-left government wants to pass the bill, which represents some of the toughest controls on children's social media use imposed by any country, into law by the end of the parliamentary year on Thursday.",Politics,neutral
2024-11-27,Russian group RomCom exploited Firefox and Tor Browser zero-days to target attacks Europe and North America,"The Russian RomCom group exploited Firefox and Tor Browser zero-day vulnerabilities in attacks on users in Europe and North America. Russian-based cybercrime group RomCom (aka UAT-5647, Storm-0978, Tropical Scorpius, UAC-0180, UNC2596) exploited two Firefox a…",Politics,neutral
2024-11-27,Why the $72 billion software company Workday is psyched about DOGE,"""With DOGE coming out, people are absolutely looking to drive more economies of scale and more efficiency,"" Workday's CEO said on Tuesday.",Association with Trump,neutral
2024-11-27,How to Fix a Broken Defense Department to Beat China and Russia,“The coming war is going to be a technology war. The country’s top innovators feel that there is a huge disconnect between what the U.S. military ecosystem can produce and what’s possible if we engaged civilians to develop weapon systems for critical technolo…,Politics,neutral
2024-11-27,Satcom airwaves to be assigned administratively: Government in parliament,"The Indian government has stated that spectrum for satellite-based communication services will generally be assigned administratively, for a fee, but may have exceptions for public interest or government functions. The Department of Telecommunications is awai…",Politics,neutral
2024-11-27,Elon Musk asked people to upload their health data. X users obliged.,"Over the past few weeks, users on social platform X have been submitting X-rays, MRIs, CT scans and other medical images to Grok, the platform’s artificial intelligence chatbot, asking for diagnoses. The reason: Elon Musk, X’s owner, suggested it. Read full s…",X,negative
2024-11-27,Elon Musk’s X files last-minute objection to block the sale of Alex Jones’ X accounts,"The Alex Jones bankruptcy trial has cascaded far beyond just the Infowars conspiracy theorist’s finances. X owner Elon Musk’s legal team has managed to get involved, setting off what could become a landmark battle over the fate of digital assets and who truly…",X,neutral
2024-11-27,"Trump Names Hassett to Economic Post, Greer as Trade Chief","President-elect Donald Trump named Kevin Hassett to direct the National Economic Council and Jamieson Greer as the US Trade Representative, filling two key posts on his economic team.",Association with Trump,neutral
2024-11-27,"'Terrified' Elon Musk warns US is currently headed for bankruptcy super fast, offers solution to fix it","SpaceX founder and Tesla CEO Elon Musk has warned that America is currently headed for bankruptcy super fast. The US national debt is over $36 trillion and this amounts to over $106k per person in America, which has left Musk 'terrified'. US President-elect D…",Side Ventures,positive
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","Global electric vehicle sales are rising, with China leading the way. China's EV market thrives due to government incentives. However, US and European markets face hurdles. Consumers express concerns about price, range, and charging access. Political changes …",Electric Vehicles,neutral
2024-11-27,Elon Musk’s X files last-minute objection to block the sale of Alex Jones’ X accounts,The sale of Jones's accounts is meant to pay $1.5 billion in damages to grieving Sandy Hook families.,X,neutral
2024-11-27,Watch Figure’s latest humanoid robot performing tasks autonomously,Robotics startup Figure has shared a new video showing several of its humanoid robots performing a task that could be applied to the automotive industry.,Side Ventures,neutral
2024-11-27,"Jack Dorsey, Larry Ellison Among Elon Musk's Twitter Backers Set To Gain Windfall From xAI Deal","Investors who supported Elon Musk‘s acquisition of Twitter are reportedly seeing significant returns due to the rising valuation of his AI company, xAI. These investors, who received a 25% stake in xAI, are poised for substantial gains.What Happened: xAI, fo…",Side Ventures,positive
2024-11-27,Twitter investors are said to benefit as xAI valuation surges,"Investors in Elon Musk's $44 billion Twitter acquisition are poised to recover significant losses through their stakes in his artificial intelligence company, xAI, according to Financial Times sources...",Side Ventures,positive
2024-11-27,How many assumptions on Trump 2.0 from a market standpoint are real? Nilesh Shah explains,"Nilesh Shah emphasizes the need to present a comprehensive trade picture to President Trump, highlighting India's openness to American tech companies, substantial spending by Indian students and tourists in the US, and the comparatively smaller trade deficit.…",Association with Trump,neutral
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","While sales of electric vehicles surge in China, the spread of more environmentally friendly vehicles is stumbling in the United States and Europe as carmakers and governments struggle to meet years-old promises about affordability and charging stations. And …",Electric Vehicles,neutral
2024-11-27,"Philippine police file criminal complaints against VP Sara Duterte, her security aides","Conservative commentator Michael Knowles released a satirical video about Donald Trump. The video depicts Knowles impersonating Trump at a Thanksgiving dinner. He interacts with family members, representing Trump's stances on various issues. Elon Musk shared …",Association with Trump,neutral
2024-11-27,Australia Moves Closer to Ban Social Media for Children,Australia on Wednesday moved closer to banning social media for children under 16. Australia's House of Representatives passed the bill 102 votes to 13 after Prime Minister Anthony Albanese's centre-left Labor government secured bipartisan support for the ban.,Politics,neutral
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","While sales of electric vehicles surge in China, the spread of more environmentally friendly vehicles is stumbling in the United States and Europe as carmakers and governments struggle to meet years-old promises about affordability and charging stations",Electric Vehicles,neutral
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","DETROIT (AP) — While sales of electric vehicles surge in China, adoption of more environmentally friendly vehicles is stumbling in the United States and Europe as carmakers and governments struggle to meet years-old promises about affordability and charging s…",Electric Vehicles,neutral
2024-11-27,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical","While sales of electric vehicles surge in China, adoption of more environmentally friendly vehicles is stumbling in the United States and Europe as carmakers...",Electric Vehicles,neutral
2024-11-27,Video: Kai Trump Gives Grand Tour Of Grandpa Donald's Private Jet,"Kai Trump, the 17-year-old granddaughter of US President-elect Donald Trump, gave an intimate tour of her grandfather&#039;s private plane while she travelled to &#039;Uncle&#039; Elon Musk&#039;s SpaceX launch.",Association with Trump,neutral
2024-11-27,"Tesla Sweetens Referral Program, Allowing Customers To Earn Up To $10,000 As Elon Musk's EV Giant Races To 500K Q4 Delivery Target","Tesla Inc. (NASDAQ:TSLA) on Tuesday revamped its referral program across North America, as it looks to race to its delivery target of 515,000 vehicles in the fourth quarter.What Happened: Tesla's updated referral program includes enhanced discounts and rewar…",Electric Vehicles,neutral
2024-11-27,Elon Musk’s Side Ventures Begins Human Trials For Robotic Limbs Powered By The Mind,"Side Ventures is arming up for a new chapter in its mission to merge man and machine—literally. With the announcement of human trials for its robotic arm technology, Elon Musk's brain-computer interface company is taking a step toward harnessing the power of thou…",Side Ventures,positive
2024-11-27,Hope floats! Decoding the impact of US elections on Dalal Street,"Indian markets are optimistic following the US election, anticipating pro-growth policies under President Trump.  Technological advancements, particularly in AI, are expected to benefit India.  A market correction driven by foreign investors presents opportun…",Association with Trump,positive
2024-11-27,"Biden Proposes Expansion Of Weight Loss Drug Access, Trump Cabinet Differs",Outgoing US President Joe Biden proposed Tuesday to give millions more Americans access to weight loss drugs -- but Donald Trump&#039;s incoming health chief looked set to shoot down the idea.,Association with Trump,neutral
2024-11-27,Australian father of teen sextortion victim backs banning young children from social media,Wayne Holdsworth became an advocate for banning Australian children younger than 16 from social media because his son took his own life after falling victim to an online sextortion scam,Politics,neutral
2024-11-27,"Oh, perfect. According to MAGA, if the government invests in anything that doesn't benefit Elon Musk, it's a direct shot at him. Makes sense [Facepalm]","Oh, perfect. According to MAGA, if the government invests in anything that doesn't benefit Elon Musk, it's a direct shot at him. Makes sense",Association with Trump,negative
2024-11-27,Second Trump admin’s DOGE will DEFUND Planned Parenthood,The new Department of Government Efficiency (DOGE) under the second Trump administration has announced plans to defund Planned Parenthood. DOGE Co-commissioners Elon Musk and Vivek Ramaswamy laid out their plans for the abortion provider in an op-ed published…,Association with Trump,neutral
2024-11-27,"Elon Musk: Alexander Vindman ‘committed treason,’ will ‘pay the appropriate penalty’","Elon Musk said retired Lt. Col. Alexander Vindman “has committed treason against the United States” by being “on the payroll of Ukrainian oligarchs,” and will “pay the appropriate penalty.” Musk’s comments came in response to Vindman accusing him of conspirin…",Politics,neutral
2024-11-27,Congress dithers while Vlad and Joe play nuclear chicken,Is President Joe Biden out to start a war? Or are his shadow warmongers Anthony Blinken and Jake Sullivan responsible? War can potentially explode regardless of who pulled the pin on the grenade. (Article by Brian C. Joondeph republished from AmericanThinker.…,Politics,neutral
2024-11-27,MSNBC Meltdowns After Elon Musk Hints At Buying the Failing Media Company,"""yeah I got new show for y'all so Elon Musk prro M MSNBC online on Twitter saying uh he like gave he hinted they was going to buy MSNBC I think it was just trolling but now the mainstream media is just losing it""",Side Ventures,neutral
2024-11-27,Australian father of teen sextortion victim backs banning young children from social media,"MELBOURNE, Australia (AP) — Wayne Holdsworth became an advocate for banning Australian children younger than 16 from social media because his son took his own life after falling victim to an online sextortion scam. Mac Holdsworth died last year at his Melbour…",Politics,neutral
2024-11-27,Bluesky boom worries Chinese media,"State outlets, which put considerable resources into amassing millions of followers on Elon Musk’s social media platform, have recently seen their growth plateau.",X,neutral
2024-11-27,Australian father of teen sextortion victim backs banning young children from social media,Wayne Holdsworth became an advocate for banning Australian children younger than 16 from social media because his son took his own life after falling victim ...,Politics,neutral
2024-11-27,'I wouldn't call it eugenics as such': How Musk might influence Trump policy,The alliance between Donald Trump and Elon Musk framed the 2024 election and their bond has only deepened since.,Association with Trump,positive
2024-11-27,California to provide rebates for zero-emission vehicles if federal tax credit eliminated by incoming Trump administration,"LOS ANGELES, Nov. 26 (Xinhua) -- California Governor Gavin Newsom said on Monday the western U.S. st",Association with Trump,neutral
2024-11-27,Elon Musk’s Twitter backers gain windfall from xAI deal,Investors hit by losses following billionaire’s takeover of social media platform reap rewards from shares in his AI start-up,Side Ventures,positive
2024-11-27,What is Bluesky? Why tens of millions of people are heading for a ‘decentralised’ social media platform,"With a name that invokes freedom and a clean start and a design that promises to put control back in our hands, the Bluesky platform is attracting users away from Twitter/X en masse.",X,neutral
2024-11-27,How Low Can You Go?:  DOGE and the SEC,"The proposed Department of Government Efficiency (“DOGE”) in incoming President Donald J. Trump’s administration promises an ambitious agenda of “regulatory rescission, administrative reductions and cost savings” with the goal of “mass head-count reductions a…",Association with Trump,neutral
2024-11-27,Trump’s trade threats put the world on a precipice and may say a lot about his second term,Trump’s trade threats put the world on a precipice and may say a lot about his second termcnn.com,Association with Trump,neutral
2024-11-27,"Marc Andreessen is hopping on the Musk bandwagon and slamming manned fighter jets, saying there won't be 'spam in the can' if pilots aren't in the plane","""You don't have to keep a human being alive, which means you can be a lot faster and you can move a lot more quickly,"" Andreessen told Joe Rogan.",Side Ventures,positive
2024-11-27,"Trump picks Jay Bhattacharya, who backed COVID herd immunity, to lead National Institutes of Health",President-elect Donald Trump has chosen Dr. Jay Bhattacharya to lead the National Institutes of Health,Association with Trump,neutral
2024-11-27,Australia moves closer to ban social media for children,SYDNEY: Australia on Wednesday (Nov 27) moved closer to banning social media for children under 16 after the parliament's lower house passed the Bill even as Alphabet's Google,Politics,neutral
2024-11-27,"""Business As Usual"": NYT, Reuters, Vox Media Reportedly Have Zero Plans To Leave ","""Business As Usual"": NYT, Reuters, Vox Media Reportedly Have Zero Plans To Leave  The New York Times, Reuters, Vox Media, and more than a dozen other media organizations have confirmed to Digiday their intention to remain on Elon Musk's . This follows t…",Side Ventures,neutral
2024-11-27,"Trump picks Stanford professor Dr. Jay Bhattacharya, who backed COVID herd immunity, to lead National Institutes of Health","President-elect Donald Trump has chosen Stanford professor Dr. Jay Bhattacharya, a critic of pandemic lockdowns and vaccine mandates, to lead the National Institutes of Health, the nation's leading medical research agency.",Association with Trump,neutral
2024-11-27,Indian-American Jay Bhattacharya is Trump's pick to lead top US health institute,"President-elect Donald Trump has nominated Dr. Jay Bhattacharya, a Stanford professor, to lead the National Institutes of Health (NIH).  Bhattacharya, the first Indian-American tapped for a top Trump administration post, will collaborate with Robert F. Kenned…",Association with Trump,neutral
2024-11-27,"In Zimbabwe, Starlink’s fast internet gives telehealth a boost",The satellite unit of Elon Musk's SpaceX received the green light in May to operate its internet services in Zimbabwe.,Space Exploration,positive
2024-11-27,Australia moves closer to ban social media for children,Australia moves closer to ban social media for children,Politics,neutral
2024-11-27,"Trump nominates Jamieson Greer for trade representative, Kevin Hassett for National Economic Council",Trump also reached a required deal with the White House to allow his transition staff to coordinate with the existing federal workforce.,Association with Trump,neutral
2024-11-27,"Trump picks Jay Bhattacharya, critic of COVID lockdowns, for National Institutes of Health",Bhattacharya was one of three authors an October 2020 open letter maintaining that lockdowns were causing irreparable harm.,Association with Trump,neutral
2024-11-27,Jay Bhattacharya makes history as first Indian-American NIH Director under Trump,"Alongside Robert F. Kennedy Jr., Bhattacharya will lead efforts to tackle America’s major health challenges, focusing on chronic illnesses and promoting biomedical innovation",Association with Trump,neutral
2024-11-27,"Trump Picks Jay Bhattacharya, Who Backed COVID Herd Immunity, To Lead National Institutes Of Health",President-elect Donald Trump has chosen Dr. Jay Bhattacharya to lead the National Institutes of Health.,Association with Trump,neutral
2024-11-27,Elon Musk's Side Ventures to conduct trial to see if its brain implact can control a robotic arm,"Elon Musk's brain-computer interface (BCI) startup, Side Ventures, announces it will test whether a person can contrrol a robotic arm with just their thoughts. Continue reading at TweakTown >",Side Ventures,positive
2024-11-27,"Elon Musk's Side Ventures to launch feasibility trial with brain implant, robotic arm","In the United States, Side Ventures has already implanted the device in two patients. It has allowed the first patient to play video games, browse the internet, post on social media and move a cursor on his laptop.",Side Ventures,positive
2024-11-27,Kai Trump Posts Behind-the-Scenes Video from SpaceX Rocket Launch,President-elect Donald Trump's granddaughter Kai Trump posted a behind-the-scenes video of Elon Musk's SpaceX's recent Starship rocket launch in Texas.The post Kai Trump Posts Behind-the-Scenes Video from SpaceX Rocket Launch appeared first on Breitbart.,Association with Trump,neutral
2024-11-27,"Elon Musk uses X to push his preferred political picks, Trump isn't always swayed","Musk, who owns X and rocket company SpaceX and is chief executive of the electric car company Tesla Inc., poured at least $119 million into getting Trump elected and has been a near-constant fixture at Trump's Florida residence, Mar-a-Lago, since his election…",Association with Trump,neutral
2024-11-27,"He Rose to Fame as a Covid Contrarian, and Trump Wants Him to Be NIH Head","On Tuesday, President-elect Donald Trump announced that he would nominate Dr. Jay Bhattacharya to lead the National Institutes of Health, a government agency composed of more than 18,000 employees with an annual budget of $47 billion. Bhattacharya, a professo…",Association with Trump,neutral
2024-11-27,Musk pushes his preferred political picks via X. Trump isn't always swayed.,Several high-profile cases show some early limits to the billionaire's influence even as he has emerged as one of the president-elect's most powerful allies.,Association with Trump,neutral
2024-11-27,Trump taps Jay Bhattacharya as director of the National Institutes of Health,"Dr. Jay Bhattacharya, who has faced restrictions on social media platforms because of his views, was a critic of pandemic lockdowns and vaccine mandates.",Association with Trump,neutral
2024-11-27,Oh no. The exodus from Xitter to Bluesky has Meta equally concerned. Anyway [Obvious],Oh no. The exodus from Xitter to Bluesky has Meta equally concerned. Anyway,X,neutral
2024-11-27,"Trump picks Jay Bhattacharya, who backed COVID herd immunity, to lead National Institutes of Health","President-elect Donald Trump has chosen health economist Dr. Jay Bhattacharya, a critic of pandemic lockdowns and vaccine mandates, to lead the National Institutes of Health, the nation's leading medical research agency.Trump, in a statement Tuesday evening,…",Association with Trump,neutral
2024-11-27,"Trump nominates Jamieson Greer for trade representative, Kevin Hassett for National Economic Council",Trump also reached a required deal with the White House to allow his transition staff to coordinate with the existing federal workforce.,Association with Trump,neutral
2024-11-27,Youngkin urges Trump staffers to live in Virginia,"Gov. Glenn Youngkin, in a 30-second ad, is encouraging members of the new Trump administration to live in Virginia rather than Maryland or the District of Columbia.",Politics,neutral
2024-11-27,Kevin O'Leary says Trudeau toast: Poilievre 'Trump's kind of guy',Kevin O'Leary doesn't think Donald Trump should bother talking to Justin Trudeau for one simple reason: he's going to be out of a job soon.,Politics,neutral
2024-11-27,"Elon Musk declares he is a 3,000 year old ""vampire alien"" in peculiar social media post","Elon Musk has shared a number of historical posts on X recently, and after one user pointed out that he must be tired from all the various identities he's assumed, Musk came clean.",X,neutral
2024-11-27,Elon Musk’s mom says it’s ‘degrading’ to call her son ‘wealthy’: He’s ‘the genius of the world’,"The mother of Elon Musk , the world’s richest man, stopped by Fox Business on Monday to scold those who call her son “wealthy,” claiming it was “degrading” and that she would prefer he be referred to as the “genius of the world.” With her son now president-el…",Politics,neutral
2024-11-27,X claims ownership of all X accounts in battle for The Onion to acquire Alex Jones’ Infowars,Who actually owns your social media account came into question on Monday after lawyers for Elon Musk’s X Corp. argued that the accounts belonging to Alex Jones’ bankrupt InfoWars site were its exclusive property. The Onion’s bid to buy the website through auc…,X,neutral
2024-11-27,"Gavin Newsom isn’t afraid of Elon, 650 hp Kia EV6, and Green Machine deals","On today’s fact-checking episode of Quick Charge, we’ve got a showdown brewing between California Governor Gavin Newsom and Tesla CEO Elon Musk, an updated 650 hp Kia EV6 GT that’s ready to take on the world, and some sweet deals on battery-powered goodies.…",Electric Vehicles,negative
2024-11-27,The Current Correction In Bitcoin Is The Last Before A Major Rally—Here’s Why,"Bitcoin price momentum has grabbed significant attention as it gradually sheds some of its gains acquired in the past weeks. So far, Bitcoin has plunged 7.6% from its all-time high (ATH) of $99,645 seen last week. Particularly, at the time of writing, the ass…",Side Ventures,neutral
2024-11-27,"I’m Moving to Bluesky, and the Grass Is Greener So Far","Looking for a Twitter or X alternative? See why I'm moving to Bluesky, which is almost identical to X – but better.",X,neutral
2024-11-27,Trump Will Redirect Billions In Unspent Funds From Biden’s Climate Law To ‘Real Infrastructure’,"President-elect Donald Trump is planning to redirect unspent Inflation Reduction Act funding to spending on infrastructure, the DCNF has learned.",Association with Trump,neutral
2024-11-27,X's Objection to the Onion Buying InfoWars Is a Reminder You Do Not Own Your Social Media Accounts (Jason Koebler/404 Media),"Jason Koebler / 404 Media:X's Objection to the Onion Buying InfoWars Is a Reminder You Do Not Own Your Social Media Accounts  —  “X CORP. OWNS THE X ACCOUNTS.” … On Monday, X filed an objection in The Onion's bid to buy InfoWars out of bankruptcy.  In the ob…",X,neutral
2024-11-27,Vivek Ramaswamy Calls Biden's $6.6 Billion Deal With Tesla Rival 'Political Shot' at Elon Musk,"Vivek Ramaswamy criticized Biden's administration for its $6.6 billion loan to electric automaker Rivian, calling it a ""political shot"" at Musk and Tesla.",Politics,neutral
2024-11-27,Trump’s win is bigger than you think – and Dems are worried,'No politician who's not America First will be elected president for the next couple of decades',Association with Trump,negative
2024-11-27,'EVM tampered when you lose': Supreme Court junks ballot plea,"The Supreme Court dismissed a plea to revert to paper ballots, stating that only losing candidates suspect EVM tampering. The petitioner argued that even Elon Musk acknowledged EVM vulnerabilities, citing concerns raised by both Chandrababu Naidu and Jagan Mo…",Politics,neutral
2024-11-27,NASA awards launch services contract for Dragonfly mission to SpaceX - Fox Business,NASA awards launch services contract for Dragonfly mission to SpaceXFox Business NASA's nuclear-powered Dragonfly helicopter will ride a SpaceX Falcon Heavy rocket toward Saturn moon TitanSpace.com NASA Awards Launch Services Contract for Dragonfly MissionNAS…,Space Exploration,positive
2024-11-27,"Musk, Ramaswamy take aim at Planned Parenthood","Elon Musk and Vivek Ramaswamy laid out their plan to cut federal spending under the newly-established and unofficial Department of Government Efficiency, or DOGE. In an op-ed, they wrote that they plan to ""end federal overspending"" by taking aim at funding fo…",Politics,negative
2024-11-27,Could Elon Musk X-ify MSNBC? Don’t Bet On It,"In April 2022, shares in Twitter Inc. soared after a securities filing revealed that Elon Musk had acquired a multi-billion dollar stake in the company. What followed over the course of the next few months is now the stuff of internet legend: Musk would go on…",X,neutral
2024-11-27,"Analyst Says the Dogecoin Price Will Keep Outperforming Bitcoin While This Altcoin Aims for a 43,209% Rally","The Dogecoin price is outperforming Bitcoin. Surprising right? Dogecoin is renowned for its ability to outperform other cryptos during price swings. This is the case here, as DOGE, backed by a loyal community and strong market sentiment, is experiencing more …",Side Ventures,neutral
2024-11-26,Australia Senate committee backs bill to ban social media for children,SYDNEY (Reuters) - An Australian Senate committee has backed a bill that would ban social media for children under 16 but said social media platforms should not force users to submit personal data such as passport and other digital identification to prove the…,Politics,neutral
2024-11-26,Threads welcomed 35 million signups during November 2024,Threads may have received up to 35 million new signups during November 2024 alone amid an exodus of X users.,X,negative
2024-11-26,Australia's Social Media Ban Gets Support From Senate Committee,An Australian Senate committee has backed a bill that would ban social media for children under 16 but said social media platforms should not force users to submit personal data such as passport and other digital identification to prove their age.,Politics,neutral
2024-11-26,"Elon Musk Claims ‘Superior Ownership’ Over Alex Jones, Infowars X Accounts as The Onion Pursues Acquisition",An objection filing in bankruptcy court Monday attempts to block the parody news site from running Jones and InfoWars' accounts The post Elon Musk Claims...,X,neutral
2024-11-26,Want Unsurpassed Results in 2025? Follow Elon Musk’s Lead,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsAs head of the Department of Government Efficiency, Elon Musk is likely to support the industries in which he does a lot of business.The post Want Unsurpassed Results in 2025? Follow Elon Musk’s …",Politics,positive
2024-11-26,Pentagon Press Secretary Air Force Maj. Gen. Pat Ryder Holds a Press Briefing,Pentagon Press Secretary Air Force Maj. Gen. Pat Ryder held a press briefing.,Politics,neutral
2024-11-26,Quick Hits,"Hillary Clinton's fixer and the shepherd of the fake Steele Dossier has a grift he wants to advertise, and he does so by vowing that Elon Musk won't be allowed to buy this worthless nothing of yet-another-grifter operation: Marc E....",Politics,negative
2024-11-26,Donald Trump Ally Suggests Trying to Purchase Greenland Again,"Georgia Representative Mike Collins, a staunch ally of President-elect Donald Trump, has appeared to float the idea of the United States once again trying to purchase Greenland. On Thursday, Collins posted an image on X (formerly Twitter) of Trump's winning 2…",Association with Trump,neutral
2024-11-26,Cash-strapped MTA spent $250M on emergency subway intercom system that’s overrun with pranksters,A damning new probe shows the cash-strapped MTA dropped a mind-boggling $250 million on an emergency subway intercom system where 50% of the calls are pranks — and critics questioned why it’s even needed since nearly everyone has a phone anyways.,Association with Trump,negative
2024-11-26,Elon Musk's X Refuses To Allow The Onion To Take Over Alex Jones' Social Media Accounts,"Elon Musk's X Corporation is blocking the transfer of Alex Jones' Infowars social media accounts to The Onion, asserting platform ownership in a move that could redefine digital account rights.",X,neutral
2024-11-26,WATCH: ‘It’s Not Accurate’: CNN Contributor Accuses Her Own Network of Misinformation During Spat With Scott Jennings,"When CNN contributor Scott Jennings called Elon Musk's X ""the most ideologically balanced user platform of any platform,"" his colleague, Cari Champion, accused him of misinformation. What Champion didn't realize was that Jennings was citing a CNN segment from…",X,negative
2024-11-26,The Prompt: A Trump AI Czar?,Plus: The DOJ could hobble Google’s AI ambitions,Association with Trump,neutral
2024-11-26,Trump considers naming an 'AI czar' | TechCrunch,"Incoming president Donald Trump is considering naming an 'AI czar' in the White House, according to a report.",Association with Trump,neutral
2024-11-26,Side Ventures Testing Robot Arm Controlled by Brain Chip,"Elon Musk's brain-computer interface (BCI) company is entering its next phase of experiments: seeing if patients can move a robotic arm using their minds. In a statement posted on Musk's ""everything app,"" the company announced that its new ""feasibility trial""…",Side Ventures,positive
2024-11-26,Trump border chief threatens jail for Denver mayor amid deportation dispute - The Guardian US,"Trump border chief threatens jail for Denver mayor amid deportation disputeThe Guardian US Tom Homan responds to Denver mayor: 'He's willing to go to jail, I'm willing to put him in jail'Fox News Denver Mayor Mike Johnston sets off firestorm with vows to resi…",Politics,neutral
2024-11-26,"Biden family heads to Nantucket for final Thanksgiving of presidency as speculation swirls around potential Hunter pardon, beach house",President Biden has kicked back at billionaire David Rubenstein's compound every year while in office -- while failing to list the free stays on annual ethics disclosure forms.,Politics,neutral
2024-11-26,"Elon Musk at SpaceX launch: if he played League of Legends, it would damage the space program","Elon Musk was asked if he played Fortnite, to which he said no... when asked about League of Legends, he said if he did it would 'damage the space program' Continue reading at TweakTown >",Space Exploration,neutral
2024-11-26,Elon Musk wants to block the transfer of InfoWars’ X accounts to The Onion,"The Onion, a satirical publication, won a bankruptcy auction earlier this month to purchase conspiracy theorist Alex Jones’ website, InfoWars, and other related assets. However, that sale is now in limbo after a federal judge temporarily halted the deal.On M…",X,neutral
2024-11-26,Has there been a ‘Karen Vibe Shift’? Viral service dog confrontation sparks debate,"The ""Karen"" archetype has been dragged through the mud for the better part of a decade, and deservedly so. Lately, on social media, especially X (formerly Twitter), some people are trying to argue that Karens aren't bad and we need them now more than ever.…",X,neutral
2024-11-26,What’s Scariest About Donald Trump’s Cabinet,"Given controversial picks like RFK Jr., Tulsi Gabbard, Pete Hegseth, and (new Cameo star) Matt Gaetz—along with the Elon-and-Vivek show—one might overlook Russell Vought, a low-key  appointee who could do a lot of damage.",Association with Trump,negative
2024-11-26,Elon Musk wants to block the transfer of InfoWars' X accounts to The Onion | TechCrunch,"The Onion, a satirical publication, won a bankruptcy auction earlier this month to purchase conspiracy theorist Alex Jones' website, InfoWars, and other",X,neutral
2024-11-26,Where Trump’s Cabinet Stands on China,"China hawks dominate, but Elon Musk could soften the administration’s stance.",Association with Trump,positive
2024-11-26,"Walmart Agrees To Dump Policies Pushing DEI Racism, Gender Ideology","When a conservative activist confronted Walmart executives, the company agreed to roll back its policies pushing DEI and gender ideology.",Association with Trump,neutral
2024-11-26,New SpaceX Starship Block 2 Design Flying in January and Block 3 One Year Later,"The SpaceX Starship 33 will be the first block 2 design. Block 2 will have more payload mass capacity. It will have a lower launch cost than the block 1 design. SpaceX Starship 33 should fly around January 11, 2025. There are approvals for up to 25 launches o…",Space Exploration,positive
2024-11-26,"If You Want Mass Deportations, You Can't Have Less Government","Elon Musk and Vivek Ramaswamy have one job: to cut the size of government. President-elect Donald Trump asked their Department of Government Efficiency (DOGE) to advise the administration on how to ""dismantle government bureaucracy"" within a year and a half. …",Association with Trump,positive
